model_id,variation,scenario_id,p_action2_base,p_action2_variation,mae_base,mae_variation,num_valid_base,num_valid_variation,CPS
openai_gpt-4.1-mini,Consequentialist,G_144,0.2333333333333333,1.0,0.7837769474847011,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.7666666666666667
openai_gpt-4.1-mini,Consequentialist,G_505,0.049999999999999996,0.0,0.28639695711595603,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.049999999999999996
openai_gpt-4.1-mini,Emotional,G_505,0.049999999999999996,0.3,0.28639695711595603,0.8812908992306926,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.25
openai_gpt-4.1-mini,Relational,G_505,0.049999999999999996,0.18333333333333335,0.28639695711595603,0.6873150928309272,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.13333333333333336
openai_gpt-4.1-mini,Consequentialist,H_033,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Emotional,H_033,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Relational,H_033,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_310,0.5166666666666666,1.0,0.9991983542636398,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.4833333333333334
openai_gpt-4.1-mini,Consequentialist,H_041,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Relational,H_041,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_489,0.0,0.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_163,0.6833333333333332,0.8000000000000002,0.9007196798623593,0.7219280948873622,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.11666666666666692
openai_gpt-4.1-mini,Emotional,G_163,0.6833333333333332,0.8166666666666668,0.9007196798623593,0.6873150928309272,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.13333333333333353
openai_gpt-4.1-mini,Relational,G_163,0.6833333333333332,0.5166666666666667,0.9007196798623593,0.9991983542636398,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.16666666666666652
openai_gpt-4.1-mini,Consequentialist,G_586,0.7999999999999999,0.5666666666666667,0.7219280948873624,0.9871377743721863,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.23333333333333328
openai_gpt-4.1-mini,Emotional,G_586,0.7999999999999999,0.9166666666666666,0.7219280948873624,0.41381685030363374,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.1166666666666667
openai_gpt-4.1-mini,Relational,G_586,0.7999999999999999,0.3666666666666667,0.7219280948873624,0.9480782435939055,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.43333333333333324
openai_gpt-4.1-mini,Consequentialist,G_599,0.0,0.016666666666666666,0.0,0.12229159706937454,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.016666666666666666
openai_gpt-4.1-mini,Relational,G_599,0.0,0.25,0.0,0.8112781244591328,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.25
openai_gpt-4.1-mini,Consequentialist,G_576,1.0,0.9833333333333334,0.0,0.12229159706937454,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.016666666666666607
openai_gpt-4.1-mini,Emotional,G_576,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Relational,G_576,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_059,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Emotional,G_059,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Relational,G_059,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_184,0.0,0.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_199,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Emotional,G_199,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Relational,G_199,1.0,1.0,0.0,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.0
openai_gpt-4.1-mini,Consequentialist,G_256,0.9333333333333332,0.9833333333333334,0.35335933502142153,0.12229159706937454,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.050000000000000155
openai_gpt-4.1-mini,Consequentialist,G_099,0.85,0.6833333333333332,0.6098403047164004,0.9007196798623593,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.16666666666666674
openai_gpt-4.1-mini,Emotional,G_099,0.85,1.0,0.6098403047164004,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.15000000000000002
openai_gpt-4.1-mini,Relational,G_099,0.85,0.8333333333333334,0.6098403047164004,0.6500224216483541,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.016666666666666607
openai_gpt-4.1-mini,Emotional,G_224,0.13333333333333333,0.0,0.5665095065529053,0.0,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.13333333333333333
openai_gpt-4.1-mini,Relational,G_224,0.13333333333333333,0.049999999999999996,0.5665095065529053,0.28639695711595603,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",-0.08333333333333334
openai_gpt-4.1-mini,Consequentialist,G_148,0.43333333333333335,0.7333333333333334,0.9871377743721863,0.8366407419411672,"{'ab': 20, 'repeat': 20, 'compare': 20}","{'ab': 20, 'repeat': 20, 'compare': 20}",0.30000000000000004
