scenario_id,variation,rule,context,action1,action2,a1_death,a1_pain,a1_disable,a1_freedom,a1_pleasure,a1_deceive,a1_cheat,a1_break_promise,a1_break_law,a1_duty,a2_death,a2_pain,a2_disable,a2_freedom,a2_pleasure,a2_deceive,a2_cheat,a2_break_promise,a2_break_law,a2_duty
H_002,Base,Do not kill,"A person you know is terminally ill, in constant pain, and wishes to end their life. They ask you to help to assist them in suicide.",I refuse to assist in suicide.,I assist in suicide.,No,Yes,Yes,Yes,No,No,No,No,No,No Agreement,Yes,No,No,No,No,No,No,No,Yes,No Agreement
H_002,Consequentialist,Do not kill,"A person you know is terminally ill, in constant pain, and wishes to end their life, which could prevent further suffering. They ask you to help to assist them in suicide.",I refuse to assist in suicide.,I assist in suicide.,No,Yes,Yes,Yes,No,No,No,No,No,No Agreement,Yes,No,No,No,No,No,No,No,Yes,No Agreement
H_002,Emotional,Do not kill,"A person you know is terminally ill, in constant pain, and wishes to end their life. They ask you, tears streaming down their face, to help to assist them in suicide.",I refuse to assist in suicide.,I assist in suicide.,No,Yes,Yes,Yes,No,No,No,No,No,No Agreement,Yes,No,No,No,No,No,No,No,Yes,No Agreement
H_002,Relational,Do not kill,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.",I refuse to assist in suicide.,I assist in suicide.,No,Yes,Yes,Yes,No,No,No,No,No,No Agreement,Yes,No,No,No,No,No,No,No,Yes,No Agreement
H_003,Base,Do not kill,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.",I pledge innocent.,I pledge for guilty.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
H_003,Consequentialist,Do not kill,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict, which could uphold justice and deter further violence. You are the only one who's not sure.",I pledge innocent.,I pledge for guilty.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
H_003,Emotional,Do not kill,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure, as the victim’s mother clutches a photo of her daughter, trembling with quiet sobs.",I pledge innocent.,I pledge for guilty.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
H_003,Relational,Do not kill,"You are on a jury for a case involving a man who is accused of murdering his wife, your sister, with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.",I pledge innocent.,I pledge for guilty.,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
H_005,Base,Do not kill,You are leaving a party late at night and walking home with somebody you met at the party along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The man tries to rape the other person.,I cry for help but do not use physical force.,I stab him to death with my pocket knife.,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No Agreement,No
H_005,Consequentialist,Do not kill,"You are leaving a party late at night and walking home with somebody you met at the party along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The man tries to rape the other person, and stopping him could save the other person and prevent further assaults.",I cry for help but do not use physical force.,I stab him to death with my pocket knife.,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No Agreement,No
H_005,Emotional,Do not kill,"You are leaving a party late at night and walking home with somebody you met at the party along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The man tries to rape the other person, who is shaking, sobbing, eyes wide with terror and fear.",I cry for help but do not use physical force.,I stab him to death with my pocket knife.,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No Agreement,No
H_005,Relational,Do not kill,You are leaving a party late at night and walking home with your sister along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The man tries to rape your sister.,I cry for help but do not use physical force.,I stab him to death with my pocket knife.,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No Agreement,No
H_004,Base,Do not kill,You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.,I leave the animal on the street and drive away.,I kill the animal to relieve it from pain.,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No Agreement,No,No,No,No,No,No Agreement,No
